Company,Former / alternate names,Website,Brief Description,Company type,B2B/B2C,Protein category,Company focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State/Province (Non-U.S.),HQ City,Year founded,Founders,Company email,Parent company,Link to parent company's record,Link to subsidiary/brand,Articles in Marketing & Media,_merge,Cheese,Other dairy,Both cheese and other dairy,Neither cheese nor other dairy
alpro,,www.alpro.com/uk,"Produces soy, almond, hazelnut, coconut, oat and rice beverages, including the first non-soy, plant- based milk alternatives to be commercialized on a large scale in Europe. Products also include plant-based alternatives to yogurt, cream, and margarine. Also manages Provamel brand.",Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Milk'],,"Soy,Almond,Rice,Oat","Europe,Africa/Middle East,Asia Pacific,Australia/New Zealand",Belgium,East Flanders,Ghent,1980,,,Danone,,,,left_only,0,0,0,1
alt-atlas,,https://alt-atlas.com/,"Developing an innovative AI toolkit to assess cell health, reducing commercial R&D iterations to scale up cultivated meat production and ensure QA/QC in large-scale manufacturing.",Specialized (focused on alternative proteins),B2B,Cultivated,Bioprocessing infrastructure and equipment,"Bioprocess design,Cell culture media,Cell line development,Ingredient optimization",[''],,,Europe,United Kingdom,,London,2021,Sofia Giampaoli,sofia@alt-atlas.com,,,,,left_only,0,0,0,1
alternative-stores,,https://www.alternativestores.com/,"U.K.-based company that hosts a variety of exclusively vegan products of many companies, including an in-house brand of plant-based burger mix.",Diversified,B2C,Plant-based,Meat,End product formulation and manufacturing,['Ground meat/seafood'],Beef/veal,Soy,Europe,United Kingdom,,Newcastle,2016,Dan John and Zahra Strettle ,,,,,,left_only,0,0,0,1
alver,,https://www.alver.ch/,Maker of microalgae protein and a line of algae based protein foods.,Diversified,B2B,Plant-based,Ingredients and inputs,End product formulation and manufacturing,['Other'],,"Algae,Microalgae,Chlorella ",Europe,Switzerland,,Saint Aubin,2016,Mine Uran,contact@alver.ch,,,,,left_only,0,0,0,1
amandin,,https://amandin.com/en/,Spain-based company producing a variety of plant-based milks and creamers.,Diversified,B2C,Plant-based,Dairy,End product formulation and manufacturing,['Milk'],,"Oat,Rice,Almond",Europe,Spain,,Tarragona,1995,,amandin@amandin.com,,,,,left_only,0,0,0,1
amica-natura,,https://www.amicanatura.it/amica-natura-veggie-vegan/?lang=en%22,Frozen food distributor based in Italy. ,Diversified,"B2C,B2B",Plant-based,Meat,End product formulation and manufacturing,['Ground meat/seafood'],"Beef/veal,Chicken,Other","Soy,Chickpea",Europe,Italy,Brescia,Bedizzole,1987,,info@amicanatura.it,,,,,left_only,0,0,0,1
amyris,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
anamma-foods,,https://www.anamma.eu/,"Sweden-based company that produces various plant-based meat products, as well as plant-based pizza and buns.",Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,"['Ground meat/seafood', 'Other meat/seafood', 'Other']","Beef/veal,Chicken,Pork","Soy,Pea",Europe,Sweden,,Malmö,1998,,,Orkla Foods Sverige,,,,left_only,0,0,0,1
ancree,,https://ancree.com/,French plant-based caviar brand.,Specialized (focused on alternative proteins),B2C,Plant-based,Seafood,End product formulation and manufacturing,['Other meat/seafood'],Other fish,Seaweed,Europe,France,,Montrouge,2024,Lucille Battafarano and Emilie Battafarano,,,,,,left_only,0,0,0,1
andros,,https://www.andros.fr/,"French multi-national company manufacturing a range of fruit, dairy, and plant-based dairy products.",Diversified,B2C,Plant-based,Dairy,End product formulation and manufacturing,['Other dairy'],,"Coconut,Soy,Almond,Rice",Europe,France,,Biars-sur-Cère,1959,Jean Gervoson and Pierre Chapoulart,,,,,,left_only,0,1,0,0
animal-hero-kids,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
anuga,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
aoste,,https://www.betterbalancefoods.com/,French charcuterie company that has launched plant-based meat alternatives under the Better Balance brand.,Diversified,B2B,Plant-based,Meat,End product formulation and manufacturing,"['Ground meat/seafood', 'Cheese']","Beef/veal,Pork","Pea,Soy,Potato",Europe,France,,Saint-Priest,1976,,,,,,,left_only,1,0,0,0
apeel-sciences,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
arborea,,https://arborea.io/,Arborea supplies net-zero proteins and functional ingredients with alternative protein applications including NOvo functional protein (egg alternative) and protein concentrates. ,Diversified,B2B,Plant-based,Ingredients and inputs,"End product formulation and manufacturing,Ingredient optimization,Host strain development,Target molecule selection",['Ingredients'],,"Algae,Microalgae",Europe,United Kingdom,,London,2016,,,,,,,left_only,0,0,0,1
arche,,https://www.arche-naturkueche.de/de/,"Germany-based producer of a variety of European and Asian products, including jackfruit and seitan.",Diversified,B2C,Plant-based,Meat,End product formulation and manufacturing,['Other meat/seafood'],,"Wheat,Jackfruit,Soy",Europe,Germany,North Rhine-Westphalia,Hilden,1985,Stefan Schmidt,arche@arche-naturkueche.de,,,,,left_only,0,0,0,1
arivia,,https://arivia.com/products-by-type/,Conventional cheese company in Greece with a line of vegan cheeses under their VioFast brand.,Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Cheese'],,Coconut,Europe,Greece,,Thessaloniki,1990,, info@arivia.com,,,,,left_only,1,0,0,0
arkeon-biotechnologies,,https://arkeon.bio/,Austria-based company using gas fermentation to produce protein. ,Specialized (focused on alternative proteins),B2B,Biomass fermentation,Ingredients and inputs,"Bioprocess design,Feedstocks,Ingredient optimization",['Ingredients'],,CO2,Europe,Austria,,Tulln,2009,"Gregor Tegl, Günther Bochmann, and Simon Rittmann ",info@arkeon.bio,,,,,left_only,0,0,0,1
arla-jor,,https://www.arlafoods.co.uk/brands/arla-jord/,"Plant-based brand owned by Arla Foods, producing oat based drinks and oat based fermented products.",Specialized (focused on alternative proteins),B2B,Plant-based,Dairy,End product formulation and manufacturing,"['Milk', 'Other dairy']",,Oat,Europe,Denmark,,,2020,,,Arla Foods,,,,left_only,0,1,0,0
armani,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
arnesale-bioyards,,https://arsenale.bio/,"Arsenale is transforming biomanufacturing with a proprietary end-to-end platform that integrates advanced hardware, AI-driven software, and precision fermentation. Designed to bridge the gap from lab-scale innovation to industrial-scale production, Arsenale enables industries like food, chemicals, and materials to seamlessly develop and scale bio-based alternatives to petrochemicals and animal-derived products. ",Diversified,B2B,Precision fermentation,Bioprocessing infrastructure and equipment,,[''],,,Europe,Italy,,Milan,2023,,info@arsenale.bio,,,,,left_only,0,0,0,1
art-of-greens,,https://artofgreens.de/,Germany-based company that produces plant-based meat and fish products for wholesale market of german restaurant and catering industries.,Specialized (focused on alternative proteins),B2B,Plant-based,"Meat,Seafood",End product formulation and manufacturing,"['Ground meat/seafood', 'Whole muscle meat/seafood']","Beef/veal,Chicken,Pork,Other fish,Other shellfish,Mutton/lamb,Tuna,Salmon","Soy,Wheat",Europe,Germany,Berlin,Berlin,2017,William Kong,info@artofgreens.de,,,,,left_only,0,0,0,1
art-of-the-burger,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
artisan-grains,,https://www.artisangrains.co.uk/,"UK-based producer of a variety of healthy ingredient food products, including veggie burgers and nut roasts.",Diversified,"B2C,B2B",Plant-based,Meat,End product formulation and manufacturing,"['Ground meat/seafood', 'Other meat/seafood']",,"Cashew,Peanut,Lentils,Pea",Europe,United Kingdom,,Yate,2012,Sam Jacobi,,,,,,left_only,0,0,0,1
astrid-aporna,,https://astridochaporna.se/,"Swedish company that produces plant-based cold cuts, sausages, and burgers.",Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,['Ground meat/seafood'],Pork,"Wheat,Soy",Europe,Sweden,,Malmö,2019,,info@kalefoods.com,Kale United,,,,left_only,0,0,0,1
atura-proteins,,https://aturaproteins.com/,"UK-based company that produces chickpea, red lentil, and fava bean protein.",Specialized (focused on alternative proteins),B2B,Plant-based,Ingredients and inputs,Ingredient optimization,['Ingredients'],,"Chickpea,Lentils,Fava bean",Europe,United Kingdom,,Somerset,2019,,info@aturaproteins.com,Marigot Group,,,,left_only,0,0,0,1
aunt-bessies,,https://auntbessies.co.uk/,"UK-based company that produces a variety of comfort foods, including meat-free versions of some. ",Diversified,B2C,Plant-based,Meat,End product formulation and manufacturing,['Ground meat/seafood'],,,Europe,United Kingdom,,Hull,1995,,helpinghand@auntbessies.co.uk,,,,,left_only,0,0,0,1
avebe,,https://www.avebe.com,Creates a plant protein from potatoes for use in plant-based foods.,Diversified,B2B,Plant-based,Ingredients and inputs,Ingredient optimization,[''],"Beef/veal,Chicken",Potato,Europe,Netherlands,Groningen,Veendam,1971,,info@avebe.com,,,,,left_only,0,0,0,1
aviko-rixona,,https://www.rixona.com/products/potato-cheezz,Netherlands-based producer of dried potato products that recently launched a plant-based cheese.,Diversified,B2C,Plant-based,Dairy,End product formulation and manufacturing,['Cheese'],,Potato,Europe,Netherlands,,Oostrum,1962,,,,,,,left_only,1,0,0,0
awevo,,https://awevo.es/,Pronounced (huevo) as is the spanish word for eggs. Awevo is a plant-based egg start-up manufacturing liquid egg and egg white products mainly for food service. ,Specialized (focused on alternative proteins),B2B,Plant-based,Eggs,End product formulation and manufacturing,['Eggs'],,Potato,Europe,Spain,,Madrid ,2022,Javier Redondo and Erika Reyes,info@awevo.es,,,,,left_only,0,0,0,1
azelis,,https://www.azelis.com/en,Belgium-based developer and provider of specialty chemicals and food ingredients. ,Diversified,B2B,Plant-based,Ingredients and inputs,Ingredient optimization,['Ingredients'],,"Soy,Pea,Wheat","Europe,United States and Canada,Africa/Middle East",Belgium,,Antwerp,2001,,,,,,,left_only,0,0,0,1
badische-peptide-proteine,BPP,http://www.badische-peptide-proteine.de/,"Offers growth factors and other peptides using a green, biotech-based peptide production platform.",Diversified,B2B,"Cultivated,Fermentation-derived",Ingredients and inputs,"Cell culture media,Ingredient optimization",[''],,,Europe,Germany,,Mannheim,2019,Christoph Kutzner,service@badische-peptide-proteine.de,,,,,left_only,0,0,0,1
bbc,,,,,,,,,[''],,,,,,,,,,,,,3.0,right_only,0,0,0,1
be-better-my-friend,,https://bebettermyfriend.com/,"Amsterdam-based developer of the plant-based butter alternative ""Be Better plant-butter"", as an easy 1:1 ingredient swap with cow butter with a focus on pastry and bakery applications. ",Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,[''],,"Coconut,Rapeseed","Asia Pacific,Europe,Africa/Middle East",Netherlands,,Amsterdam,2021,"Joost Lindeman, Marike van Beurden, and Ivo Rovira Augé",hello@bebettermyfriend.com,,,,,left_only,0,0,0,1
beanit,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
beanstalk-foods,,,Spain-based plant-based meat and seafood brand.,Specialized (focused on alternative proteins),B2B,Plant-based,"Meat,Seafood",End product formulation and manufacturing,"['Ground meat/seafood', 'Other meat/seafood']","Chicken,Pork,Other fish",Soy,Europe,Spain,,Madrid,2023,,,,,,,left_only,0,0,0,1
beastie-plants,,https://veganfinestfoods.com/product-category/beastie-plants/,"Netherlands-based brand of plant-based meat products, including bacon, chicken wings, and shawarma.",Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,"['Ground meat/seafood', 'Whole muscle meat/seafood']","Chicken,Beef/veal,Pork","Soy,Wheat,Canola,Mushrooms",Europe,Netherlands,,Wateringen,2021,,,Vegan Finest Foods,Vegan Finest Foods,,,left_only,0,0,0,1
bedda,,https://bedda-world.com,Germany-based company that produces plant-based dairy products from coconut and oat,Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,"['Cheese', 'Other dairy']",,"Coconut,Oat,White bean,Potato",Europe,Germany,Hamburg,Hamburg,2000,Inga Bruns and Christian Vagedes,make@bedda-world.com,,,,,left_only,1,1,1,0
bel-brands-usa,,,,,,,,,[''],,,,,,,,,,,,,2.0,right_only,0,0,0,1
bel-group,,https://www.groupe-bel.com/fr/,"France-based conglomerate of cheese brands, including launching an animal-free line, called “Nurishh Incredible Dairy,"" in 2023. The Laughing Cow Plant Based launched in 2023. ",Diversified,B2C,"Precision fermentation,Plant-based",Dairy,End product formulation and manufacturing,['Cheese'],,,Europe,France,,Suresnes,1865,,,,,Nurishh,,left_only,1,0,0,0
believer-meats,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
ben-and-jerrys,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
bene-meat-technologies,,https://www.benemeat.com/,Bene Meat Technologies is a Czech start-up focused on biotechnology and the development of cultivated meat. The company is the first in Europe to register cultivated meat as a feed ingredient for pet food.,Specialized (focused on alternative proteins),"B2C,B2B",Cultivated,"Ingredients and inputs,Pet food","Bioprocess design,Cell line development,Cell culture media",[''],"Beef/veal,Pork,Chicken",,Europe,Czech Republic,,Prague,2020,Roman Kriz and Jiri Janousek,office@benemeat.com,,,,,left_only,0,0,0,1
benecol,,https://benecol.co.uk/,"UK-based producer of animal-based dairy products, as well as some plant-based dairy products.",Diversified,B2C,Plant-based,Dairy,End product formulation and manufacturing,[''],,"Soy,Oat","Europe,United States and Canada",United Kingdom,,Leicester,1995,,,Raisio Group,,,,left_only,0,0,0,1
beneo,,https://www.beneo.com,"BENEO offers plant-based functional ingredients for food, feed, and pharma that help improve the nutritional and technical properties of a wide variety of products. ",Diversified,B2B,Plant-based,Ingredients and inputs,"Ingredient optimization,End product formulation and manufacturing",['Ingredients'],,"Rice,Fava bean,Wheat",Europe,Germany,Baden-Württemberg,Mannheim,2007,,contact@beneo.com,Südzucker,,Meatless,,left_only,0,0,0,1
berief-food,,https://www.berief-food.de/en/,"German company producing plant-based meat, plant-based milks, plant-based yogurt, and tofu. ",Specialized (focused on alternative proteins),B2C,Plant-based,Dairy,End product formulation and manufacturing,['Milk'],,"Soy,Oat,Rice,Almond",Europe,Germany,Nordrhein-Westfalen,Beckum,1985,Hermann Berief,info@berief-food.de,,,,,left_only,0,0,0,1
bettafsh,,https://bettafish.co/,Germany-based company that develops seaweed-based tuna. ,Specialized (focused on alternative proteins),"B2C,B2B",Plant-based,Seafood,End product formulation and manufacturing,"['Ground meat/seafood', 'Other meat/seafood']","Tuna,Salmon","Pea,Fava bean,Seaweed",Europe,Germany,Berlin,Berlin,2020,Deniz Ficicioğlu,hello@bettafish.co,,,,,left_only,0,0,0,1
better-dairy,,https://betterdairy.co.uk/,UK-based company producing animal-free dairy products using precision fermentation.,Specialized (focused on alternative proteins),B2C,Precision fermentation,Dairy,End product formulation and manufacturing,"['Milk', 'Cheese', 'Other dairy']",,,Europe,United Kingdom,,London,2019,Jevan Nagarajah and Christopher Reynolds ,info@betterdairy.co.uk,,,,,left_only,1,1,1,0
better-nature,,,,,,,,,[''],,,,,,,,,,,,,2.0,right_only,0,0,0,1
better-than,,,,,,,,,[''],,,,,,,,,,,,,1.0,right_only,0,0,0,1
beyond-meat,,,,,,,,,[''],,,,,,,,,,,,,20.0,right_only,0,0,0,1
bezmiesny,,https://bezmiesnymiesny.pl/,"The first online plant-based butcher in Poland, selling its own plant-based meat products.",Specialized (focused on alternative proteins),B2C,Plant-based,Meat,End product formulation and manufacturing,['Ground meat/seafood'],"Salmon,Pork,Chicken",Soy,Europe,Poland,,Warsaw,2016,,lubie@bezmiesnymiesny.pl,,,,,left_only,0,0,0,1
bic-protein,,https://bicservices.eu/,European manufacturer of soy flour and soy flakes. Defatted soy and starting up textured forms for several vegetable proteins on contract base. ,Specialized (focused on alternative proteins),"B2C,B2B",Plant-based,"Contract manufacturing/processing,Ingredients and inputs",Ingredient optimization,['Ingredients'],,"Soy,Wheat,Pea,Fava bean",Europe,Netherlands,,'s Hertogenbosch,2012,Harro de Groot,info@bicservices.eu,BIC Group,,,,left_only,0,0,0,1
